25-06-16 23:55:37.008 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.techn.journalapp.service.RedisTest], using SpringBootContextLoader 
25-06-16 23:55:37.029 [main] INFO  o.s.t.c.s.AbstractContextLoader - Could not detect default resource locations for test class [com.techn.journalapp.service.RedisTest]: no resource found for suffixes {-context.xml, Context.groovy}. 
25-06-16 23:55:37.032 [main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.techn.journalapp.service.RedisTest]: RedisTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration. 
25-06-16 23:55:37.401 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.techn.journalapp.JournalApplication for test class com.techn.journalapp.service.RedisTest 
25-06-16 23:55:37.540 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.event.ApplicationEventsTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener] 
25-06-16 23:55:37.563 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@75e91545, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@60d1a32f, org.springframework.test.context.event.ApplicationEventsTestExecutionListener@531c311e, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@22b53226, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@1fcb4808, org.springframework.test.context.support.DirtiesContextTestExecutionListener@726e5805, org.springframework.test.context.transaction.TransactionalTestExecutionListener@40c80397, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@4b672daa, org.springframework.test.context.event.EventPublishingTestExecutionListener@ea9b7c6, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@e077866, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@ed3068a, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@7c2b6087, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@3fffff43, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@a8e6492, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener@1c7fd41f] 
25-06-16 23:55:38.892 [main] INFO  c.techn.journalapp.service.RedisTest - Starting RedisTest using Java 17.0.13 on apples-MacBook-Pro.local with PID 86711 (started by apple in /Users/apple/Desktop/Irshad/java/Java/Spring/journalapp) 
25-06-16 23:55:38.893 [main] INFO  c.techn.journalapp.service.RedisTest - The following 1 profile is active: "prod" 
25-06-16 23:55:39.940 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode 
25-06-16 23:55:39.943 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data MongoDB repositories in DEFAULT mode. 
25-06-16 23:55:40.208 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 259 ms. Found 3 MongoDB repository interfaces. 
25-06-16 23:55:40.241 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode 
25-06-16 23:55:40.243 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode. 
25-06-16 23:55:40.266 [main] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport - Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.techn.journalapp.repository.ConfigJournalAppRepository; If you want this repository to be a Redis repository, consider annotating your entities with one of these annotations: org.springframework.data.redis.core.RedisHash (preferred), or consider extending one of the following types with your repository: org.springframework.data.keyvalue.repository.KeyValueRepository 
25-06-16 23:55:40.268 [main] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport - Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.techn.journalapp.repository.JournalEntryRepository; If you want this repository to be a Redis repository, consider annotating your entities with one of these annotations: org.springframework.data.redis.core.RedisHash (preferred), or consider extending one of the following types with your repository: org.springframework.data.keyvalue.repository.KeyValueRepository 
