25-06-17 00:00:01.229 [main] INFO  org.mongodb.driver.client - MongoClient with metadata {"driver": {"name": "mongo-java-driver|sync|spring-boot", "version": "4.6.1"}, "os": {"type": "Darwin", "name": "Mac OS X", "architecture": "x86_64", "version": "10.15.7"}, "platform": "Java/Oracle Corporation/17.0.13+10-LTS-268", "application": {"name": "Cluster0"}} created with settings MongoClientSettings{readPreference=primary, writeConcern=WriteConcern{w=majority, wTimeout=null ms, journal=null}, retryWrites=true, retryReads=true, readConcern=ReadConcern{level=null}, credential=MongoCredential{mechanism=null, userName='meirshad07', source='admin', password=<hidden>, mechanismProperties=<hidden>}, streamFactoryFactory=null, commandListeners=[], codecRegistry=ProvidersCodecRegistry{codecProviders=[ValueCodecProvider{}, BsonValueCodecProvider{}, DBRefCodecProvider{}, DBObjectCodecProvider{}, DocumentCodecProvider{}, IterableCodecProvider{}, MapCodecProvider{}, GeoJsonCodecProvider{}, GridFSFileCodecProvider{}, Jsr310CodecProvider{}, JsonObjectCodecProvider{}, BsonCodecProvider{}, EnumCodecProvider{}, com.mongodb.Jep395RecordCodecProvider@70716259]}, clusterSettings={hosts=[127.0.0.1:27017], srvHost=cluster0.jl0ajab.mongodb.net, srvServiceName=mongodb, mode=MULTIPLE, requiredClusterType=REPLICA_SET, requiredReplicaSetName='atlas-q34iyo-shard-0', serverSelector='null', clusterListeners='[]', serverSelectionTimeout='30000 ms', localThreshold='30000 ms'}, socketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=0, receiveBufferSize=0, sendBufferSize=0}, heartbeatSocketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=10000, receiveBufferSize=0, sendBufferSize=0}, connectionPoolSettings=ConnectionPoolSettings{maxSize=100, minSize=0, maxWaitTimeMS=120000, maxConnectionLifeTimeMS=0, maxConnectionIdleTimeMS=0, maintenanceInitialDelayMS=0, maintenanceFrequencyMS=60000, connectionPoolListeners=[], maxConnecting=2}, serverSettings=ServerSettings{heartbeatFrequencyMS=10000, minHeartbeatFrequencyMS=500, serverListeners='[]', serverMonitorListeners='[]'}, sslSettings=SslSettings{enabled=true, invalidHostNameAllowed=false, context=null}, applicationName='Cluster0', compressorList=[], uuidRepresentation=JAVA_LEGACY, serverApi=null, autoEncryptionSettings=null, contextProvider=null} 
25-06-17 00:00:01.251 [cluster-ClusterId{value='685062a919ccaf24275240f4', description='null'}-srv-cluster0.jl0ajab.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-qlr4jwe-shard-00-00.jl0ajab.mongodb.net:27017 to client view of cluster 
25-06-17 00:00:01.321 [cluster-ClusterId{value='685062a919ccaf24275240f4', description='null'}-srv-cluster0.jl0ajab.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-qlr4jwe-shard-00-01.jl0ajab.mongodb.net:27017 to client view of cluster 
25-06-17 00:00:01.324 [cluster-ClusterId{value='685062a919ccaf24275240f4', description='null'}-srv-cluster0.jl0ajab.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-qlr4jwe-shard-00-02.jl0ajab.mongodb.net:27017 to client view of cluster 
25-06-17 00:00:02.661 [cluster-ClusterId{value='685062a919ccaf24275240f4', description='null'}-ac-qlr4jwe-shard-00-01.jl0ajab.mongodb.net:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:4, serverValue:6851}] to ac-qlr4jwe-shard-00-01.jl0ajab.mongodb.net:27017 
25-06-17 00:00:02.675 [cluster-rtt-ClusterId{value='685062a919ccaf24275240f4', description='null'}-ac-qlr4jwe-shard-00-00.jl0ajab.mongodb.net:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:1, serverValue:6627}] to ac-qlr4jwe-shard-00-00.jl0ajab.mongodb.net:27017 
25-06-17 00:00:02.662 [cluster-ClusterId{value='685062a919ccaf24275240f4', description='null'}-ac-qlr4jwe-shard-00-00.jl0ajab.mongodb.net:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:5, serverValue:6627}] to ac-qlr4jwe-shard-00-00.jl0ajab.mongodb.net:27017 
25-06-17 00:00:02.662 [cluster-ClusterId{value='685062a919ccaf24275240f4', description='null'}-ac-qlr4jwe-shard-00-02.jl0ajab.mongodb.net:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:3, serverValue:6350}] to ac-qlr4jwe-shard-00-02.jl0ajab.mongodb.net:27017 
25-06-17 00:00:02.691 [cluster-ClusterId{value='685062a919ccaf24275240f4', description='null'}-ac-qlr4jwe-shard-00-00.jl0ajab.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-qlr4jwe-shard-00-00.jl0ajab.mongodb.net:27017, type=REPLICA_SET_SECONDARY, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=620145847, setName='atlas-q34iyo-shard-0', canonicalAddress=ac-qlr4jwe-shard-00-00.jl0ajab.mongodb.net:27017, hosts=[ac-qlr4jwe-shard-00-01.jl0ajab.mongodb.net:27017, ac-qlr4jwe-shard-00-02.jl0ajab.mongodb.net:27017, ac-qlr4jwe-shard-00-00.jl0ajab.mongodb.net:27017], passives=[], arbiters=[], primary='ac-qlr4jwe-shard-00-01.jl0ajab.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az1'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=251, topologyVersion=TopologyVersion{processId=685040081086f8c63cb6590b, counter=4}, lastWriteDate=Tue Jun 17 00:00:02 IST 2025, lastUpdateTimeNanos=18754925342841} 
25-06-17 00:00:02.662 [cluster-rtt-ClusterId{value='685062a919ccaf24275240f4', description='null'}-ac-qlr4jwe-shard-00-02.jl0ajab.mongodb.net:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:6, serverValue:6350}] to ac-qlr4jwe-shard-00-02.jl0ajab.mongodb.net:27017 
25-06-17 00:00:02.662 [cluster-rtt-ClusterId{value='685062a919ccaf24275240f4', description='null'}-ac-qlr4jwe-shard-00-01.jl0ajab.mongodb.net:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:2, serverValue:6851}] to ac-qlr4jwe-shard-00-01.jl0ajab.mongodb.net:27017 
